academic_terms,original_string,new_string,domains,country
erasmushogeschool brussel,erasmushogeschool brussel,erasmushogeschool brussel,ehb.be,Belgium
european carolus magnus university,european carolus magnus university,european carolus magnus university,carolus-magnus-university.eu,Belgium
european international university,european international university,european international university,europeaniu.org,Belgium
"evangelische theologische faculteit, leuven","evangelische theologische faculteit, leuven","evangelische theologische faculteit, leuven",etf.edu,Belgium
faculté polytechnique de mons,faculté polytechnique de mons,faculté polytechnique de mons,fpms.ac.be,Belgium
faculté universitaire des sciences agronomiques de gembloux,faculté universitaire des sciences agronomiques de gembloux,faculté universitaire des sciences agronomiques de gembloux,fsagx.ac.be,Belgium
facultés universitaires catholiques de mons,facultés universitaires catholiques de mons,facultés universitaires catholiques de mons,fucam.ac.be,Belgium
facultés universitaires notre-dame de la paix,facultés universitaires notre-dame de la paix,facultés universitaires notre-dame de la paix,fundp.ac.be,Belgium
facultés universitaires saint-louis,facultés universitaires saint-louis,facultés universitaires saint-louis,fusl.ac.be,Belgium
fondation universitaire luxembourgeoise,fondation universitaire luxembourgeoise,fondation universitaire luxembourgeoise,ful.ac.be,Belgium
hasselt university,hasselt university,hasselt university,uhasselt.be,Belgium
hogere zeevaartschool maritime academy,hogere zeevaartschool maritime academy,hogere zeevaartschool - maritime academy,hzs.be,Belgium
hogeschool antwerpen,hogeschool antwerpen,hogeschool antwerpen,ha.be,Belgium
hogeschool voor wetenschap & kunst,hogeschool voor wetenschap & kunst,hogeschool voor wetenschap & kunst,wenk.be,Belgium
hogeschool voor wetenschap en kunst|vlekho,hogeschool voor wetenschap en kunst|vlekho,hogeschool voor wetenschap en kunst,vlekho.be,Belgium
hogeschool west-vlaanderen,hogeschool west-vlaanderen,hogeschool west-vlaanderen,howest.be,Belgium
karel de grote hogeschool,karel de grote hogeschool,karel de grote hogeschool,kdg.be,Belgium
katholieke hogeschool kempen,katholieke hogeschool kempen,katholieke hogeschool kempen,khk.be,Belgium
katholieke hogeschool leuven,katholieke hogeschool leuven,katholieke hogeschool leuven,khleuven.be,Belgium
katholieke hogeschool limburg,katholieke hogeschool limburg,katholieke hogeschool limburg,khlim.be,Belgium
katholieke universiteit brussel,katholieke universiteit brussel,katholieke universiteit brussel,kubrussel.ac.be,Belgium
katholieke universiteit leuven|ku leuven,katholieke universiteit leuven(?! campus| kortrijik)|ku leuven,katholieke universiteit leuven,kuleuven.ac.be,Belgium
katholieke universiteit leuven campus kortrijk|katholieke universiteit leuven kortrijk,katholieke universiteit leuven campus kortrijk|katholieke universiteit leuven kortrijk,katholieke universiteit leuven kortrijk,kulak.ac.be,Belgium
royal military academy,royal military academy,royal military academy,rma.ac.be,Belgium
thierry graduate school of leadership,thierry graduate school of leadership,thierry graduate school of leadership,thierryschool.org,Belgium
united business institute,united business institute,united business institute,ubi.edu,Belgium
université catholique de louvain,université catholique de louvain,université catholique de louvain,ucl.ac.be|student.uclouvain.be,Belgium
université de liège,université de liège,université de liège,ulg.ac.be,Belgium
université de mons-hainaut,université de mons-hainaut,université de mons-hainaut,umh.ac.be,Belgium
université libre de bruxelles,université libre de bruxelles,université libre de bruxelles,ulb.ac.be,Belgium
universiteit antwerpen,universiteit antwerpen,universiteit antwerpen,ua.ac.be|uantwerpen.be,Belgium
universiteit antwerpen management school,universiteit antwerpen management school,universiteit antwerpen management school,uams.be,Belgium
universiteit antwerpen|ufsia,universiteit antwerpen|ufsia,"universiteit antwerpen, ufsia",ufsia.ac.be,Belgium
universiteit gent|ghent university|ugent,universiteit gent|ghent university|ugent,universiteit gent,rug.ac.be|ugent.be,Belgium
artevelde hogeschool,artevelde hogeschool,artevelde hogeschool,arteveldehs.be|student.arteveldehs.be,
vesalius college,vesalius college,vesalius college,vesalius.edu,Belgium
vlerick leuven gent management school,vlerick leuven gent management school,vlerick leuven gent management school,vlerick.be,Belgium
vrije universiteit brussel,vrije universiteit brussel,vrije universiteit brussel,vub.ac.be,Belgium
american university of the caribbean school of medicine,american university of the caribbean school of medicine,"american university of the caribbean, school of medicine",aucmed.edu,Belize
central america health sciences university|belize medical college,central america health sciences university|belize medical college,central america health sciences university,cahsu.edu,Belize
greenford international university,greenford international university,greenford international university,giuedu.bz,Belize
university of belize,university of belize,university of belize,ub.edu.bz,Belize
west coast university,west coast university,west coast university,westcoastuniversity.bz,Belize
espam formation university,espam formation university,espam formation university,espam-formationuc.org,Benin
houdegbe north american university benin,houdegbe north american university benin,houdegbe north american university benin,hnaubenin.org,Benin
université d'abomey-calavi,université d'abomey-calavi,université d'abomey-calavi,uac.bj,Benin
bermuda college,bermuda college,bermuda college,bercol.bm,Bermuda
royal university of bhutan,royal university of bhutan,royal university of bhutan,rub.edu.bt,Bhutan
escuela militar de ingeniería,escuela militar de ingeniería,escuela militar de ingeniería,emi.edu.bo,"Bolivia, Plurinational State of"
universidad adventista de bolivia,universidad adventista de bolivia,universidad adventista de bolivia,uab.edu.bo,"Bolivia, Plurinational State of"
universidad amazonica de pando,universidad amazonica de pando,universidad amazonica de pando,uapnet.edu.bo,"Bolivia, Plurinational State of"
universidad andina simón bolivar,universidad andina simón bolivar,universidad andina simón bolivar,uasb.edu.bo,"Bolivia, Plurinational State of"
"universidad autónoma del beni ""josé ballivián""|universidad autónoma del beni ""josé ballivián""","universidad autónoma del beni ""josé ballivián""|universidad autónoma del beni ""josé ballivián""","universidad autónoma del beni ""josé ballivián""",uabjb.edu.bo,"Bolivia, Plurinational State of"
universidad autónoma gabriel rené moreno,universidad autónoma gabriel rené moreno,universidad autónoma gabriel rené moreno,uagrm.edu.bo,"Bolivia, Plurinational State of"
universidad autónoma juan misael saracho,universidad autónoma juan misael saracho,universidad autónoma juan misael saracho,uajms.edu.bo,"Bolivia, Plurinational State of"
universidad autónoma tomás frías,universidad autónoma tomás frías,universidad autónoma tomás frías,uatf.edu.bo,"Bolivia, Plurinational State of"
"universidad católica boliviana, cochabamba","universidad católica boliviana, cochabamba","universidad católica boliviana, cochabamba",ucbcba.edu.bo,"Bolivia, Plurinational State of"
"universidad católica boliviana, la paz","universidad católica boliviana, la paz","universidad católica boliviana, la paz",ucb.edu.bo,"Bolivia, Plurinational State of"
"universidad católica boliviana, santa cruz","universidad católica boliviana, santa cruz","universidad católica boliviana, santa cruz",ucbscz.edu.bo,"Bolivia, Plurinational State of"
"universidad católica boliviana, tarija","universidad católica boliviana, tarija","universidad católica boliviana, tarija",ucbtja.edu.bo,"Bolivia, Plurinational State of"
universidad central,universidad central,universidad central,unicen.edu.bo,"Bolivia, Plurinational State of"
universidad de aquino bolivia,universidad de aquino bolivia,universidad de aquino bolivia,udabol.edu.bo,"Bolivia, Plurinational State of"
universidad domingo savio,universidad domingo savio,universidad domingo savio,upds.edu.bo,"Bolivia, Plurinational State of"
universidad empresarial mateo kuljis,universidad empresarial mateo kuljis,universidad empresarial mateo kuljis,unikuljis.edu.bo,"Bolivia, Plurinational State of"
universidad juan misael saracho,universidad juan misael saracho,universidad juan misael saracho,uajms.edu.bo,"Bolivia, Plurinational State of"
universidad los andes,universidad los andes,universidad los andes,udelosandes.edu.bo,"Bolivia, Plurinational State of"
universidad mayor de san andrés,universidad mayor de san andrés,universidad mayor de san andrés,umsanet.edu.bo,"Bolivia, Plurinational State of"
universidad mayor de san simón,universidad mayor de san simón,universidad mayor de san simón,umss.edu.bo,"Bolivia, Plurinational State of"
universidad nacional siglo xx llallagua,universidad nacional siglo xx llallagua,universidad nacional siglo xx llallagua,unsxx.edu.bo,"Bolivia, Plurinational State of"
universidad nuestra senora de la paz,universidad nuestra senora de la paz,universidad nuestra senora de la paz,unslp.edu.bo,"Bolivia, Plurinational State of"
universidad nur,universidad nur,universidad nur,nur.edu,"Bolivia, Plurinational State of"
universidad privada abierta latinoamericana,universidad privada abierta latinoamericana,universidad privada abierta latinoamericana,upal.edu,"Bolivia, Plurinational State of"
universidad privada boliviana,universidad privada boliviana,universidad privada boliviana,upb.edu,"Bolivia, Plurinational State of"
universidad privada de santa cruz de la sierra,universidad privada de santa cruz de la sierra,universidad privada de santa cruz de la sierra,upsa.edu.bo,"Bolivia, Plurinational State of"
universidad privada del valle,universidad privada del valle,universidad privada del valle,univalle.edu,"Bolivia, Plurinational State of"
universidad privada franz tamayo|unifranz,universidad privada franz tamayo|unifranz,universidad privada franz tamayo (unifranz),unifranz.edu.bo,"Bolivia, Plurinational State of"
universidad salesiana de bolivia,universidad salesiana de bolivia,universidad salesiana de bolivia,usalesiana.edu.bo,"Bolivia, Plurinational State of"
universidad san francisco xavier,universidad san francisco xavier,universidad san francisco xavier,usfx.info,"Bolivia, Plurinational State of"
universidad san francisco xavier de chuquisaca,universidad san francisco xavier de chuquisaca,universidad san francisco xavier de chuquisaca,usfx.edu.bo,"Bolivia, Plurinational State of"
universidad técnica de oruro,universidad técnica de oruro,universidad técnica de oruro,uto.edu.bo,"Bolivia, Plurinational State of"
american university in bosnia and herzegovina,american university in bosnia and herzegovina,american university in bosnia and herzegovina,aubih.ba,Bosnia and Herzegovina
international burch university,international burch university,international burch university,ibu.edu.ba,Bosnia and Herzegovina
international university of sarajevo,international university of sarajevo,international university of sarajevo,ius.edu.ba,Bosnia and Herzegovina
international university of travnik,international university of travnik,international university of travnik,iu-travnik.com,Bosnia and Herzegovina
sarajevo film academy,sarajevo film academy,sarajevo film academy,sfa.ba,Bosnia and Herzegovina
slobomir p univerzitet,slobomir p univerzitet,slobomir p univerzitet,spu.ba,Bosnia and Herzegovina
university of banja luka,university of banja luka,university of banja luka,unibl.org,Bosnia and Herzegovina
university of bihac,university of bihac,university of bihac,unbi.ba,Bosnia and Herzegovina
university of east srarajevo,university of east srarajevo,university of east srarajevo,unssa.rs.ba,Bosnia and Herzegovina
university of mostar,university of mostar,university of mostar,sve-mo.ba,Bosnia and Herzegovina
university of sarajevo,university of sarajevo,university of sarajevo,unsa.ba,Bosnia and Herzegovina
university of tuzla,university of tuzla,university of tuzla,untz.ba,Bosnia and Herzegovina
university of zenica,university of zenica,university of zenica,unze.ba,Bosnia and Herzegovina
university vitez in travnik,university vitez in travnik,university vitez in travnik,unvi.edu.ba,Bosnia and Herzegovina
"univerzitet u mostaru ""dzemal bijedic""|univerzitet u mostaru dzemal bijedic","univerzitet u mostaru ""dzemal bijedic""|univerzitet u mostaru dzemal bijedic","univerzitet u mostaru ""dzemal bijedic""",unmo.ba,Bosnia and Herzegovina
abm university college,abm university college,abm university college,abm.ac.bw,Botswana
botho university,botho university,botho university,bothocollege.ac.bw,Botswana
botswana accountancy college,botswana accountancy college,botswana accountancy college,bac.ac.bw,Botswana
botswana college of agriculture,botswana college of agriculture,botswana college of agriculture,bca.bw,Botswana
botswana international university of science & technology,botswana international university of science & technology,botswana international university of science & technology,biust.ac.bw,Botswana
gaborone universal college of law,gaborone universal college of law,gaborone universal college of law,guc.co.bw,Botswana
"new era college of arts, science & technology","new era college of arts, science & technology","new era college of arts, science & technology",neweracollege.ac.bw,Botswana
university of botswana,university of botswana,university of botswana,ub.bw,Botswana
centro regional universitário de espiríto santo do pinhal,centro regional universitário de espiríto santo do pinhal,centro regional universitário de espiríto santo do pinhal,creupi.br,Brazil
centro universitário barao de maua,centro universitário barao de maua,centro universitário barao de maua,baraodemaua.br,Brazil
centro universitário claretiano,centro universitário claretiano,centro universitário claretiano,claretiano.edu.br,Brazil
centro universitário de araraquara,centro universitário de araraquara,centro universitário de araraquara,uniara.com.br,Brazil
centro universitário de joão pessoa,centro universitário de joão pessoa,centro universitário de joão pessoa,unipe.br,Brazil
centro universitário monte serrat,centro universitário monte serrat,centro universitário monte serrat,unimonte.br,Brazil
centro universitário newton paiva,centro universitário newton paiva,centro universitário newton paiva,newtonpaiva.br,Brazil
centro universitário plinio leite,centro universitário plinio leite,centro universitário plinio leite,unipli.com.br,Brazil
centro universitário senac,centro universitário senac,centro universitário senac,sp.senac.br,Brazil
centro universitário serra dos órgãos,centro universitário serra dos órgãos,centro universitário serra dos órgãos,unifeso.edu.br,Brazil
emescam - escola superior de ciências da santa casa de misericórdia de vitória,emescam - escola superior de ciências da santa casa de misericórdia de vitória,emescam - escola superior de ciências da santa casa de misericórdia de vitória,emescam.br,Brazil
faap - fundação armando alvares penteado,faap - fundação armando alvares penteado,faap - fundação armando alvares penteado,faap.br,Brazil
faculdade integradas do ceará,faculdade integradas do ceará,faculdade integradas do ceará,fic.br,Brazil
faculdade italo brasileira,faculdade italo brasileira,faculdade italo brasileira,italo.br,Brazil
faculdades integradas curitiba,faculdades integradas curitiba,faculdades integradas curitiba,faculdadescuritiba.br,Brazil
faculdades integradas do brasil|unibrasil,faculdades integradas do brasil|unibrasil,faculdades integradas do brasil,unibrasil.com.br,Brazil
faculdades integradas toledo,faculdades integradas toledo,faculdades integradas toledo,toledo.br,Brazil
faculdades integradas upis,faculdades integradas upis,faculdades integradas upis,upis.br,Brazil
fae business school|faculdade de administração e economia,fae business school|faculdade de administração e economia,"fae business school, faculdade de administração e economia",fae.edu,Brazil
fundação educacional de ituverava,fundação educacional de ituverava,fundação educacional de ituverava,feituverava.com.br,Brazil
instituto mauá de tecnologia,instituto mauá de tecnologia,instituto mauá de tecnologia,maua.br,Brazil
instituto nacional de matemática pura e aplicada,instituto nacional de matemática pura e aplicada,instituto nacional de matemática pura e aplicada,impa.br,Brazil
instituto tecnológico de aeronáutica,instituto tecnológico de aeronáutica,instituto tecnológico de aeronáutica,ita.br,Brazil
pontifícia universidade católica de campinas,pontifícia universidade católica de campinas,pontifícia universidade católica de campinas,puccamp.br,Brazil
pontifícia universidade católica de minas gerais,pontifícia universidade católica de minas gerais,pontifícia universidade católica de minas gerais,pucminas.br,Brazil
pontifícia universidade católica de são paulo,pontifícia universidade católica de são paulo,pontifícia universidade católica de são paulo,pucsp.br,Brazil
pontificia universidade católica do paraná,pontificia universidade católica do paraná,pontificia universidade católica do paraná,pucpr.br,Brazil
pontifícia universidade católica do rio de janeiro,pontifícia universidade católica do rio de janeiro,pontifícia universidade católica do rio de janeiro,puc-rio.br,Brazil
pontifícia universidade católica do rio grande do sul,pontifícia universidade católica do rio grande do sul,pontifícia universidade católica do rio grande do sul,pucrs.br,Brazil
universidade bandeirante de são paulo,universidade bandeirante de são paulo,universidade bandeirante de são paulo,uniban.br,Brazil
universidade braz cubas,universidade braz cubas,universidade braz cubas,brazcubas.br,Brazil
universidade camilo castelo branco,universidade camilo castelo branco,universidade camilo castelo branco,unicastelo.br,Brazil
universidade candido mendes,universidade candido mendes,universidade candido mendes,candidomendes.br,Brazil
universidade castelo branco,universidade castelo branco,universidade castelo branco,castelobranco.br,Brazil
universidade católica de brasília,universidade católica de brasília,universidade católica de brasília,ucb.br,Brazil
universidade católica de goiás,universidade católica de goiás,universidade católica de goiás,ucg.br,Brazil
universidade católica de pelotas,universidade católica de pelotas,universidade católica de pelotas,ucpel.tche.br,Brazil
universidade católica de pernambuco,universidade católica de pernambuco,universidade católica de pernambuco,unicap.br,Brazil
universidade católica de petrópolis,universidade católica de petrópolis,universidade católica de petrópolis,ucp.br,Brazil
universidade católica de salvador,universidade católica de salvador,universidade católica de salvador,ucsal.br,Brazil
universidade católica de santos,universidade católica de santos,universidade católica de santos,unisantos.com.br,Brazil
universidade católica dom bosco,universidade católica dom bosco,universidade católica dom bosco,unibosco.br,Brazil
universidade cidade de são paulo,universidade cidade de são paulo,universidade cidade de são paulo,unicid.br,Brazil
universidade cruzeiro do sul,universidade cruzeiro do sul,universidade cruzeiro do sul,unicsul.br,Brazil
universidade da amazônia,universidade da amazônia,universidade da amazônia,unama.br,Brazil
universidade da região da campanha,universidade da região da campanha,universidade da região da campanha,urcamp.tche.br,Brazil
universidade de alfenas,universidade de alfenas,universidade de alfenas,unifenas.br,Brazil
universidade de brasília|universidade de brasilia|universidade de braslia,universidade de brasília|universidade de brasilia|universidade de braslia,universidade de brasília,unb.br,Brazil
universidade de caxias do sul,universidade de caxias do sul,universidade de caxias do sul,ucs.tche.br,Brazil
universidade de cruz alta,universidade de cruz alta,universidade de cruz alta,unicruz.tche.br,Brazil
universidade de fortaleza,universidade de fortaleza,universidade de fortaleza,unifor.br,Brazil
universidade de franca,universidade de franca,universidade de franca,unifran.br,Brazil
universidade de guarulhos,universidade de guarulhos,universidade de guarulhos,ung.br,Brazil
universidade de itaúna,universidade de itaúna,universidade de itaúna,web.prover.com.br,Brazil
universidade de marília,universidade de marília,universidade de marília,unimar.br,Brazil
universidade de mogi das cruzes,universidade de mogi das cruzes,universidade de mogi das cruzes,umc.br,Brazil
universidade de nova iguaçu,universidade de nova iguaçu,universidade de nova iguaçu,unig.br,Brazil
universidade de passo fundo,universidade de passo fundo,universidade de passo fundo,upf.tche.br,Brazil
universidade de pernambuco,universidade de pernambuco,universidade de pernambuco,upe.br,Brazil
universidade de ribeirão preto,universidade de ribeirão preto,universidade de ribeirão preto,unaerp.br,Brazil
universidade de santa cruz do sul,universidade de santa cruz do sul,universidade de santa cruz do sul,unisc.br,Brazil
universidade de santo amaro,universidade de santo amaro,universidade de santo amaro,unisa.br,Brazil
universidade de são paulo|university of so paulo|university of sao paulo,universidade de são paulo|university of so paulo|university of sao paulo,universidade de são paulo,usp.br,Brazil
universidade de taubaté,universidade de taubaté,universidade de taubaté,unitau.br,Brazil
universidade de tocantins,universidade de tocantins,universidade de tocantins,pop-to.rnp.br,Brazil
universidade de uberaba,universidade de uberaba,universidade de uberaba,uniube.br,Brazil
universidade do amazonas,universidade do amazonas,universidade do amazonas,fua.br,Brazil
universidade do estado da bahia,universidade do estado da bahia,universidade do estado da bahia,uneb.br,Brazil
universidade do estado de santa catarina,universidade do estado de santa catarina,universidade do estado de santa catarina,udesc.br,Brazil
universidade do estado do rio de janeiro,universidade do estado do rio de janeiro,universidade do estado do rio de janeiro,uerj.br,Brazil
universidade do estado do rio grande do norte,universidade do estado do rio grande do norte,universidade do estado do rio grande do norte,uern.br,Brazil
universidade do extremo sul catarinense,universidade do extremo sul catarinense,universidade do extremo sul catarinense,unesc.rct-sc.br,Brazil
universidade do grande rio,universidade do grande rio,universidade do grande rio,unigranrio.br,Brazil
universidade do oeste de santa catarina,universidade do oeste de santa catarina,universidade do oeste de santa catarina,unoesc.edu.br,Brazil
universidade do oeste paulista,universidade do oeste paulista,universidade do oeste paulista,unoeste.br,Brazil
universidade do rio de janeiro,universidade do rio de janeiro,universidade do rio de janeiro,unirio.br,Brazil
universidade do rio grande,universidade do rio grande,universidade do rio grande,furg.br,Brazil
universidade do sagrado coração,universidade do sagrado coração,universidade do sagrado coração,usc.br,Brazil
universidade do sul de santa catarina,universidade do sul de santa catarina,universidade do sul de santa catarina,unisul.br,Brazil
universidade do vale do itajaí,universidade do vale do itajaí,universidade do vale do itajaí,univali.rct-sc.br|univali.br|edu.univali.br,Brazil
universidade estácio de sá,universidade estácio de sá,universidade estácio de sá,estacio.br,Brazil
universidade estadual da paraíba,universidade estadual da paraíba,universidade estadual da paraíba,uepb.edu.br,Brazil
universidade estadual de campinas|unicamp,universidade estadual de campinas|unicamp,universidade estadual de campinas|unicamp,unicamp.br,Brazil
universidade estadual de feira de santana,universidade estadual de feira de santana,universidade estadual de feira de santana,uefs.br,Brazil
universidade estadual de londrina,universidade estadual de londrina,universidade estadual de londrina,uel.br,Brazil
universidade estadual de maringá,universidade estadual de maringá,universidade estadual de maringá,uem.br,Brazil
universidade estadual de montes claros,universidade estadual de montes claros,universidade estadual de montes claros,unimontes.br,Brazil
universidade estadual de ponta grossa,universidade estadual de ponta grossa,universidade estadual de ponta grossa,uepg.br,Brazil
universidade estadual de santa cruz,universidade estadual de santa cruz,universidade estadual de santa cruz,uesc.br,Brazil
universidade estadual do ceará,universidade estadual do ceará,universidade estadual do ceará,uece.br,Brazil
universidade estadual do maranhão,universidade estadual do maranhão,universidade estadual do maranhão,uema.br,Brazil
universidade estadual do norte fluminense,universidade estadual do norte fluminense,universidade estadual do norte fluminense,uenf.br,Brazil
universidade estadual do oeste do paraná,universidade estadual do oeste do paraná,universidade estadual do oeste do paraná,unioeste.br,Brazil
universidade estadual do piauí,universidade estadual do piauí,universidade estadual do piauí,uespi.br,Brazil
universidade estadual do vale do acaraú,universidade estadual do vale do acaraú,universidade estadual do vale do acaraú,uvanet.br,Brazil
universidade estadual paulista,universidade estadual paulista,universidade estadual paulista,unesp.br,Brazil
universidade estadual sudoeste da bahia,universidade estadual sudoeste da bahia,universidade estadual sudoeste da bahia,uesb.br,Brazil
universidade federal da bahia,universidade federal da bahia,universidade federal da bahia,ufba.br,Brazil
universidade federal da grande dourados,universidade federal da grande dourados,universidade federal da grande dourados,ufgd.edu.br,Brazil
universidade federal da paraíba,universidade federal da paraíba,universidade federal da paraíba,ufpb.br,Brazil
universidade federal de alagoas,universidade federal de alagoas,universidade federal de alagoas,ufal.br,Brazil
universidade federal de campina grande,universidade federal de campina grande,universidade federal de campina grande,ufcg.edu.br|ccc.ufcg.edu.br,Brazil
universidade federal de goiás,universidade federal de goiás,universidade federal de goiás,ufg.br,Brazil
universidade federal de juiz de fora,universidade federal de juiz de fora,universidade federal de juiz de fora,ufjf.br,Brazil
universidade federal de lavras,universidade federal de lavras,universidade federal de lavras,ufla.br,Brazil
universidade federal de mato grosso,universidade federal de mato grosso,universidade federal de mato grosso,ufmt.br,Brazil
universidade federal de mato grosso do sul,universidade federal de mato grosso do sul,universidade federal de mato grosso do sul,ufms.br,Brazil
universidade federal de minas gerais|ufmg,universidade federal de minas gerais|ufmg,universidade federal de minas gerais,ufmg.br,Brazil
universidade federal de ouro preto,universidade federal de ouro preto,universidade federal de ouro preto,ufop.br,Brazil
universidade federal de pelotas,universidade federal de pelotas,universidade federal de pelotas,ufpel.tche.br,Brazil
universidade federal de pernambuco,universidade federal de pernambuco,universidade federal de pernambuco,ufpe.br,Brazil
universidade federal de rondônia,universidade federal de rondônia,universidade federal de rondônia,unir.br,Brazil
universidade federal de roraima,universidade federal de roraima,universidade federal de roraima,technet.com.br,Brazil
universidade federal de santa catarina,universidade federal de santa catarina,universidade federal de santa catarina,ufsc.br,Brazil
universidade federal de santa maria,universidade federal de santa maria,universidade federal de santa maria,ufsm.br,Brazil
universidade federal de são carlos,universidade federal de são carlos,universidade federal de são carlos,ufscar.br,Brazil
universidade federal de são paulo,universidade federal de são paulo,universidade federal de são paulo,epm.br,Brazil
universidade federal de sergipe,universidade federal de sergipe,universidade federal de sergipe,ufs.br,Brazil
universidade federal de uberlândia,universidade federal de uberlândia,universidade federal de uberlândia,ufu.br,Brazil
universidade federal de viçosa,universidade federal de viçosa,universidade federal de viçosa,ufv.br,Brazil
universidade federal do abc,universidade federal do abc,universidade federal do abc,ufabc.edu.br,Brazil
universidade federal do acre,universidade federal do acre,universidade federal do acre,ufac.br,Brazil
universidade federal do amapá,universidade federal do amapá,universidade federal do amapá,unifap.br,Brazil
universidade federal do ceará,universidade federal do ceará,universidade federal do ceará,ufc.br,Brazil
universidade federal do espírito santo,universidade federal do espírito santo,universidade federal do espírito santo,ufes.br,Brazil
universidade federal do maranhão,universidade federal do maranhão,universidade federal do maranhão,ufma.br,Brazil
universidade federal do pará,universidade federal do pará,universidade federal do pará,ufpa.br,Brazil
universidade federal do paraná,universidade federal do paraná,universidade federal do paraná,ufpr.br|alunos.utfpr.edu.br|utfpr.edu.br,Brazil
universidade federal do piauí,universidade federal do piauí,universidade federal do piauí,ufpi.br,Brazil
universidade federal do rio de janeiro,universidade federal do rio de janeiro,universidade federal do rio de janeiro,ufrj.br,Brazil
universidade federal do rio grande do norte,universidade federal do rio grande do norte,universidade federal do rio grande do norte,ufrn.br,Brazil
universidade federal do rio grande do sul,universidade federal do rio grande do sul,universidade federal do rio grande do sul,ufrgs.br,Brazil
universidade federal do vale do são francisco,universidade federal do vale do são francisco,universidade federal do vale do são francisco,univasf.edu.br,Brazil
universidade federal fluminense,universidade federal fluminense,universidade federal fluminense,uff.br,Brazil
universidade federal rural de pernambuco,universidade federal rural de pernambuco,universidade federal rural de pernambuco,ufrpe.br,Brazil
universidade federal rural do rio de janeiro,universidade federal rural do rio de janeiro,universidade federal rural do rio de janeiro,ufrrj.br,Brazil
universidade gama filho,universidade gama filho,universidade gama filho,ugf.br,Brazil
universidade ibirapuera,universidade ibirapuera,universidade ibirapuera,unib.br,Brazil
universidade luterana do brasil,universidade luterana do brasil,universidade luterana do brasil,ulbra.br,Brazil
universidade mackenzie,universidade mackenzie,universidade mackenzie,mackenzie.br,Brazil
universidade metodista de piracicaba,universidade metodista de piracicaba,universidade metodista de piracicaba,unimep.br,Brazil
universidade metropolitana de santos,universidade metropolitana de santos,universidade metropolitana de santos,unimes.com.br,Brazil
universidade para o desenvolvimento do alto vale do itajaí,universidade para o desenvolvimento do alto vale do itajaí,universidade para o desenvolvimento do alto vale do itajaí,unidavi.rct-sc.br,Brazil
universidade paulista,universidade paulista,universidade paulista,unip-objetivo.br,Brazil
universidade potiguar,universidade potiguar,universidade potiguar,unp.br,Brazil
universidade regional de blumenau,universidade regional de blumenau,universidade regional de blumenau,furb.rct-sc.br,Brazil
universidade regional do cariri,universidade regional do cariri,universidade regional do cariri,urca.br,Brazil
universidade regional do noroeste do estado do rio grande do sul,universidade regional do noroeste do estado do rio grande do sul,universidade regional do noroeste do estado do rio grande do sul,unijui.tche.br,Brazil
universidade regional integrada do alto uruguai e das missões,universidade regional integrada do alto uruguai e das missões,universidade regional integrada do alto uruguai e das missões,uri.br,Brazil
universidade salgado de oliveira,universidade salgado de oliveira,universidade salgado de oliveira,universo.br,Brazil
universidade salvador,universidade salvador,universidade salvador,unifacs.br,Brazil
universidade santa cecília dos bandeirantes,universidade santa cecília dos bandeirantes,universidade santa cecília dos bandeirantes,stcecilia.br,Brazil
universidade santa úrsula,universidade santa úrsula,universidade santa úrsula,usu.br,Brazil
universidade são francisco,universidade são francisco,universidade são francisco,usf.br,Brazil
universidade são judas tadeu,universidade são judas tadeu,universidade são judas tadeu,saojudas.br,Brazil
universidade são marcos,universidade são marcos,universidade são marcos,smarcos.br,Brazil
universidade tiradentes,universidade tiradentes,universidade tiradentes,unit.br,Brazil
universidade vale do paraiba,universidade vale do paraiba,universidade vale do paraiba,univap.br,Brazil
universidade vale do rio doce,universidade vale do rio doce,universidade vale do rio doce,univale.br,Brazil
universidade vale do rio dos sinos,universidade vale do rio dos sinos,universidade vale do rio dos sinos,unisinos.br,Brazil
universidade veiga de almeida,universidade veiga de almeida,universidade veiga de almeida,uva.br,Brazil
institut teknologi brunei,institut teknologi brunei,institut teknologi brunei,itb.edu.bn,Brunei Darussalam
universiti islam sultan sharif ali,universiti islam sultan sharif ali,universiti islam sultan sharif ali,unissa.edu.bn,Brunei Darussalam
university of brunei darussalam,university of brunei darussalam,university of brunei darussalam,ubd.edu.bn,Brunei Darussalam
"academy of economics ""dimitur a. tscenov""|academy of economics dimitur a. tscenov","academy of economics ""dimitur a. tscenov""|academy of economics dimitur a. tscenov","academy of economics ""dimitur a. tscenov""",uni-svishtov.bg,Bulgaria
bulgarian academy of music dance and fine arts,bulgarian academy of music dance and fine arts,bulgarian academy of music dance and fine arts,amti.hit.bg,Bulgaria
agricultural university of plovdiv,agricultural university of plovdiv,agricultural university of plovdiv,au-plovdiv.bg,Bulgaria
american university in bulgaria,american university in bulgaria,american university in bulgaria,aubg.bg,Bulgaria
bourgas free university,bourgas free university,bourgas free university,bfu.bg,Bulgaria
"bourgas university ""prof. assen zlatarov""|bourgas university prof. assen zlatarov","bourgas university ""prof. assen zlatarov""|bourgas university prof. assen zlatarov","bourgas university ""prof. assen zlatarov""",btu.bg,Bulgaria
city university programs in bulgaria,city university programs in bulgaria,city university programs in bulgaria,cityu.bg,Bulgaria
international university college,international university college,international university college,vumk.eu,Bulgaria
medical university of sofia,medical university of sofia,medical university of sofia,mu-sofia.bg,Bulgaria
